Kode Indikator,Nama Indikator,Parent/ Child,Definisi,Rumus Perhitungan,Klasifikasi,Satuan,Indikator RPJPN,Indikator RPJMN,Indikator SDGs,Indikator SIPD,Tagging RAD,Has Child?
02.01.031,Persentase Industri Kecil yang Menerima Pinjaman atau Kredit,Parent,"Konsep dan Definisi:Industri Kecil yang dimaksud pada indikator ini adalah industri mikro dan industri kecil.Industri Mikro adalah industri pengolahan yang mempunyai tenaga kerja antara 1 sampai dengan 4 orang. Industri Kecil adalah usaha industri pengolahan yang mempunyai tenaga kerja 5 sampai dengan 19 orang.Kredit yang diberikan adalah semua penyediaan uang atau tagihan yang dapat dipersamakan dalam rupiah dan valuta asing, berdasarkan persetujuan atau kesepakatan pinjam meminjam antara bank pelapor dengan bank dan pihak ketiga bukan bank.Dalam perhitungan indikator ini fokus terhadap industri kecil (industri pengolahan) yang menerima pinjaman atau kredit.",Proporsi industri kecil dengan pinjaman atau kredit diperoleh dengan membagi jumlah industri kecil yang mendapatkan akses pinjaman atau kredit dengan jumlah industri kecil dan dikalikan dengan 100 persen.Rumus:Keterangan:IK : Jumlah industri kecil.IKKREDIT : Jumlah industri kecil yang mendapatkan pinjaman atau kredit.,"Wilayah Administrasi: Nasional, Provinsi",persen,,,9.3.2* - Proporsi industri kecil dengan pinjaman atau kredit.,000213 - Proporsi industri kecil dengan pinjaman atau kredit,INDUSTRI,No
02.01.032,Persentase izin pemantauan dan Pengawasan denan Jumlah Izin Usaha Kawasan Industri (IPKI) Yang lokasinya di kabupaten/kota,Parent,Jumlah Izin Pemantauan dan Pengawasan: Ini adalah total izin yang dikeluarkan oleh otoritas terkait untuk pemantauan dan pengawasan kawasan industri dalam wilayah kabupaten/kota tertentu dalam periode waktu tertentu. Jumlah Izin Usaha Kawasan Industri (IPKI): Ini adalah total izin usaha yang dikeluarkan untuk pendirian dan operasional kawasan industri dalam wilayah kabupaten/kota tertentu dalam periode waktu tertentu. Lokasi Kabupaten/Kota: Ini adalah batas geografis administratif yang menentukan area mana yang termasuk dalam suatu kabupaten atau kota tertentu.,,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000533 - Persentase Jumlah izin pemantauan dan Pengawasan denan Jumlah Izin Usaha Kawasan Industri (IPKI) Yang lokasinya di kabupaten/kota,INDUSTRI,No
02.01.033,Persentase Kontribusi Sektor Industri Pengolahan Nonmigas Terhadap PDRB,Parent,"Definisi operasional dari Persentase Kontribusi Sektor Industri Pengolahan Nonmigas Terhadap PDRB adalah proporsi atau bagian dari Produk Domestik Regional Bruto (PDRB) yang dihasilkan oleh sektor industri pengolahan nonmigas terhadap total PDRB di suatu wilayah tertentu (misalnya, provinsi atau kabupaten/kota) dalam periode tertentu.",,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000611 - Persentase Kontribusi Sektor Industri Pengolahan Nonmigas Terhadap PDRB,INDUSTRI,No
02.01.034,Persentase Nilai Tambah Sektor Industri Manufaktur Terhadap Produk Domestik Bruto (PDB),Parent,"Industri pengolahan secara luas didefinisikan sebagai “transformasi bahan fisik atau kimia menjadi produk baru” terlepas dari proses (dengan mesin atau dengan tangan), lokasi (pabrik atau rumah), atau metode penjualan (grosir atau eceran). Nilai tambah industri pengolahan merupakan jumlah nilai barang dan jasa akhir (pengurangan output dengan input antara) yang dihasilkan pada sektor industri pengolahan. Nilai tambah manufaktur di proyeksikan sebagai persentase dari produk domestik bruto (PDB) serta per kapita untuk periode tertentu. Nilai tambah pengolahan di hitung menggunakan Atas Dasar Harga Konstan. Produk Domestik Bruto (PDB) adalah total pendapatan yang diterima oleh faktor-faktor produksi dalam kegiatan proses produksi di suatu negara selama satu periode (setahun). Perhitungan indikator ini menggunakan PDB Atas Dasar Harga Konstan. Angka-angka per kapita yaitu ukuran-ukuran indikator ekonomi dimana membagi indikator dengan jumlah populasi.",Proporsi nilai tambah sektor industri manufaktur diperoleh dari pembagian nilai tambah sektor industri manufaktur dengan PDB dan dikalikan 100 persen.Proporsi nilai tambah sektor industri manufaktur per kapita diperoleh dari pembagian nilai tambah sektor industri manufaktur dengan jumlah populasi dan dikalikan 100 persen.Rumus:Keterangan:NTSIM : Nilai tambah sektor industri manufaktur PDB : Produk Domestik BrutoJP: Jumlah penduduk,"Wilayah Administrasi: Nasional, Provinsi",persen,,,9.2.1* - Rasio PDB industri pengolahan dan nilai tambah industri pengolahan per kapita.,000209 - Proporsi nilai tambah sektor industri manufaktur terhadap PDB dan perkapita,INDUSTRI,No
02.01.035,Persentase pencapaian sasaran pembangunan industri termasuk turunan indikator Pembangunan industri dalam RIPIN yang ditepatkan dalam RIPIP,Parent,Persentase pencapaian sasaran pembangunan industri dalam Rencana Induk Pembangunan Industri Nasional (RIPIN) yang ditepatkan dalam Rencana Induk Pembangunan Industri Provinsi (RIPIP) adalah ukuran yang menunjukkan sejauh mana pencapaian sasaran pembangunan industri yang ditetapkan dalam RIPIN tercapai dalam konteks pelaksanaan di tingkat provinsi sesuai dengan RIPIP. Ini mencerminkan seberapa baik implementasi sasaran pembangunan industri nasional dapat dicapai pada tingkat provinsi.,,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000434 - persentase pencapaian sasaran pembangunan industri termasuk turunan indikator  Pembangunan industri dalam RIPIN yang ditepatkan dalam RIPIP,INDUSTRI,No
02.01.036,Persentase Pertumbuhan PDRB Sektor Industri Pengolahan Nonmigas,Parent,Persentase Pertumbuhan PDB Sektor Industri Pengolahan Nonmigas adalah ukuran yang menggambarkan persentase perubahan nilai tambah atau produksi dari sektor industri pengolahan nonmigas dalam suatu negara atau wilayah selama periode waktu tertentu,,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000691 - Persentase Pertumbuhan PDRB Sektor Industri Pengolahan Nonmigas,INDUSTRI,No
02.01.037,Pertambahan jumlah industri besar di provinsi,Parent,Pertambahan jumlah industri besar di provinsi adalah ukuran yang menunjukkan peningkatan atau penurunan jumlah industri besar yang beroperasi di suatu provinsi dalam periode waktu tertentu. Ini mencerminkan pertumbuhan sektor industri besar dan dapat digunakan untuk mengevaluasi perkembangan ekonomi dan investasi industri di provinsi tersebut.,,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000433 - pertambahan jumlah industri besar di provinsi,INDUSTRI,No
02.01.038,Pertambahan Jumlah Industri kecil dan menengah di provinsi,Parent,"Untuk memahami pertambahan jumlah industri kecil dan menengah di suatu provinsi, kita perlu memiliki definisi operasional yang jelas. Definisi operasional adalah cara khusus kita mendefinisikan dan mengukur konsep dalam konteks penelitian atau analisis kita. Berikut adalah beberapa elemen penting yang bisa kita masukkan dalam definisi operasional untuk industri kecil dan menengah: Definisi Industri Kecil dan Menengah: Industri Kecil: Biasanya didefinisikan berdasarkan jumlah tenaga kerja, omset tahunan, atau nilai aset. Misalnya, industri dengan jumlah karyawan antara 5 hingga 19 orang, atau dengan omset tahunan tertentu. Industri Menengah: Biasanya didefinisikan sebagai industri yang lebih besar dari industri kecil tetapi lebih kecil dari industri besar. Misalnya, industri dengan jumlah karyawan antara 20 hingga 99 orang, atau dengan omset tahunan tertentu. Periode Waktu: Tentukan periode waktu yang akan diukur, misalnya pertambahan per tahun, per lima tahun, atau periode tertentu yang relevan",,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000530 - Pertambahan Jumlah Industri kecil dan menengah di provinsi,INDUSTRI,No
02.01.039,Pertumbuhan PDB Bahan Kimia dan Barang dari Bahan Kimia,Parent,"Jumlah nilai tambah yang dihasilkan oleh sektor Industri Bahan Kimia dan Barang dari Bahan Kimia dalam suatu wilayah tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh sektor Industri Bahan Kimia dan Barang dari Bahan Kimia (KBLI 20). Perhitungan menggunakan atas dasar harga konstan.","Mengurangi nilai tambah Industri Bahan Kimia dan Barang dari Bahan Kimia pada tahun ke-t terhadap nilai tambah Industri Bahan Kimia dan Barang dari Bahan Kimia pada tahun t-1 (tahun sebelumnya), dibagi dengan nilai tambah Industri Bahan Kimia dan Barang dari Bahan Kimia pada tahun t-1 (tahun sebelumnya), dikalikan 100 persen","Wilayah Administrasi: Nasional, Provinsi",persen,,05.01.09.01.02 - Pertumbuhan PDB Bahan Kimia dan Barang dari Bahan Kimia,,,INDUSTRI,No
02.01.040,"Pertumbuhan PDB Industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",Parent,"Pertumbuhan PDB industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik = (PDB Atas Dasar Harga Konstan industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik dasar Periode (t) - PDB Atas Dasar Harga Konstan Industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik Periode (t-1))/PDB Atas Dasar Harga Konstan Industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik Periode (t-1) dikali 100%","Mengurangi nilai tambah Industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik pada tahun ke-t terhadap nilai tambah Industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik pada tahun t-1 (tahun sebelumnya), dibagi dengan nilai tambah Industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik pada tahun t-1 (tahun sebelumnya), dikalikan 100 persen","Wilayah Administrasi: Nasional, Provinsi",persen,,"05.01.10.01.01 - Pertumbuhan PDB Industri Barang Logam: Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",,,INDUSTRI,No
02.01.041,"Pertumbuhan PDB Industri Farmasi, Produk Obat Kimia, dan Obat Tradisional",Parent,"Jumlah nilai tambah yang dihasilkan oleh sektor Industri Farmasi, Produk Obat Kimia, dan Obat Tradisional dalam suatu wilayah tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh sektor Industri Farmasi, Produk Obat Kimia, dan Obat Tradisional. Perhitungan menggunakan atas dasar harga konstan.","Mengurangi nilai tambah Industri Farmasi, Produk Obat Kimia, dan Obat Tradisional pada tahun ke-t terhadap nilai tambah Industri Farmasi, Produk Obat Kimia, dan Obat Tradisional pada tahun t-1 (tahun sebelumnya), dibagi dengan nilai tambah Industri Farmasi, Produk Obat Kimia, dan Obat Tradisional pada tahun t-1 (tahun sebelumnya), dikalikan 100 persen","Wilayah Administrasi: Nasional, Provinsi",persen,,"05.01.11.01.01 - Pertumbuhan PDB Industri Farmasi, Produk Obat Kimia, dan Obat Tradisional",,,INDUSTRI,No
02.01.042,"Pertumbuhan PDB Industri Kulit, Barang dari Kulit, dan Alas Kaki",Parent,"Jumlah nilai tambah yang dihasilkan oleh subsektor Industri Kulit, Barang dari Kulit, dan Alas Kaki dalam suatu wilayah tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh subsektor Industri Kulit, Barang dari Kulit, dan Alas Kaki. Perhitungan menggunakan PDB atas dasar harga konstan.","Pertumbuhan PDB Industri Kulit, Barang dari Kulit, dan Alas Kaki yaitu (PDB Atas Dasar Harga Konstan Industri Kulit, Barang dari Kulit, dan Alas Kaki dasar Periode (t) - PDB Atas Dasar Harga Konstan Industri Kulit, Barang dari Kulit, dan Alas Kaki Periode (t-1))/PDB Atas Dasar Harga Konstan Industri Kulit, Barang dari Kulit, dan Alas Kaki Periode (t-1) dikali 100%","Wilayah Administrasi: Nasional, Provinsi",persen,,"05.01.17.01.01 - Pertumbuhan PDB Industri Kulit, Barang dari Kulit, dan Alas Kaki",,,INDUSTRI,No
02.01.043,Pertumbuhan PDB Industri Logam Dasar,Parent,"Jumlah nilai tambah yang dihasilkan oleh subsektor Industri Logam Dasar dalam suatu wilayah tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh subsektor Industri Logam Dasar. Perhitungan menggunakan PDB atas dasar harga konstan.",Pertumbuhan PDB industri logam dasar = (PDB Atas Dasar Harga Konstan Industri logam dasar Periode (t) - PDB Atas Dasar Harga Konstan Industri logam dasar Periode (t-1))/PDB Atas Dasar Harga Konstan Industri logam dasar Periode (t-1) dikali 100%,"Wilayah Administrasi: Nasional, Provinsi",persen,,05.01.18.01.01 - Pertumbuhan PDB Industri Logam Dasar,,,INDUSTRI,No
02.01.044,Pertumbuhan PDB Industri Makanan dan Minuman,Parent,"Jumlah nilai tambah yang dihasilkan oleh sektor Industri Makanan dan Minuman dalam suatu wilayah tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh sektor Industri Makanan dan Minuman. Perhitungan menggunakan atas dasar harga konstan.","Mengurangi nilai tambah Industri Makanan dan Minuman pada tahun ke-t terhadap nilai tambah Industri Makanan dan Minuman pada tahun t-1 (tahun sebelumnya), dibagi dengan nilai tambah Industri Makanan dan Minuman pada tahun t-1 (tahun sebelumnya), dikalikan 100 persen","Wilayah Administrasi: Nasional, Provinsi",persen,,05.01.15.01.01 - Pertumbuhan PDB Industri Makanan dan Minuman,,,INDUSTRI,No
02.01.045,Pertumbuhan PDB Industri Mesin dan Perlengkapan,Parent,"Jumlah nilai tambah yang dihasilkan oleh sektor Industri Mesin dan Perlengkapan dalam suatu wilayah tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh sektor Industri Mesin dan Perlengkapan. Perhitungan menggunakan atas dasar harga konstan.","Mengurangi nilai tambah Industri Mesin dan Perlengkapan pada tahun ke-t terhadap nilai tambah Industri Mesin dan Perlengkapan pada tahun t-1 (tahun sebelumnya), dibagi dengan nilai tambah Industri Mesin dan Perlengkapan pada tahun t-1 (tahun sebelumnya), dikalikan 100 persen","Wilayah Administrasi: Nasional, Provinsi",persen,,05.01.14.01.01 - Pertumbuhan PDB Industri Mesin dan Perlengkapan,,,INDUSTRI,No
02.01.046,Pertumbuhan PDB Industri Pengolahan,Parent,"Industri pengolahan secara luas didefinisikan sebagai “transformasi bahan fisik atau kimia menjadi produk baru,” terlepas dari proses (dengan mesin atau dengan tangan), lokasi (pabrik atau rumah), atau metode penjualan (grosir atau eceran). Produk Domestik Bruto (PDB) adalah jumlah nilai tambah yang dihasilkan oleh seluruh unit usaha dalam suatu negara tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh seluruh unit ekonomi. PDB merefleksikan total pendapatan yang diterima oleh faktor-faktor produksi dalam kegiatan proses produksi di suatu negara selama satu periode (setahun). Perhitungan indikator ini menggunakan PDB Atas Dasar Harga Konstan.","Laju pertumbuhan PDB industri manufaktur dapat diperoleh dengan mengurangi nilai tambah industri manufaktur pada tahun ke - t terhadap nilai tambah industri manufaktur pada tahun ke t-1 (tahun sebelumnya), dibagi dengan nilai tambah industri manufaktur pada tahun ke t-1, dikalikan dengan 100 persen.Rumus: Keterangan:PDB: Produk Domestik BrutoNTSIM : Nilai tambah sektor industri manufaktur t : Tahun berjalant-1: Tahun sebelumnya","Wilayah Administrasi: Nasional, Provinsi, Kabupaten/Kota",persen,,05.01.01.01 - Pertumbuhan PDB Industri Pengolahan,9.2.1.(a) - Pertumbuhan PDB industri pengolahan.,000210 - Laju pertumbuhan PDB Industri Manufaktur,INDUSTRI,No
02.01.047,Pertumbuhan PDB Industri Tekstil dan Pakaian Jadi,Parent,"Jumlah nilai tambah yang dihasilkan oleh subsektor Industri Tekstil dan Pakaian Jadi dalam suatu wilayah tertentu, atau merupakan jumlah nilai barang dan jasa akhir yang dihasilkan oleh subsektor Industri Tekstil dan Pakaian Jadi. Perhitungan menggunakan PDB atas dasar harga konstan.",Pertumbuhan PDB industri Tekstil dan Pakaian Jadi yaitu (PDB Atas Dasar Harga Konstan industri Tekstil dan Pakaian Jadi dasar Periode (t) - PDB Atas Dasar Harga Konstan Industri Tekstil dan Pakaian Jadi Periode (t-1))/PDB Atas Dasar Harga Konstan Industri Tekstil dan Pakaian Jadi Periode (t-1) dikali 100%,"Wilayah Administrasi: Nasional, Provinsi",persen,,05.01.16.01.01 - Pertumbuhan PDB Industri Tekstil dan Pakaian Jadi,,,INDUSTRI,No
02.01.048,Pertumbuhan PDB subsektor Aplikasi dan Gim,Parent,"Pertumbuhan PDB Subsektor Aplikasi dan Gim adalah pertambahan nilai pendapatan subsektor aplikasi dan gim dalam kurun waktu satu tahun. Perhitungan menggunakan PDB Atas Dasar Harga Berlaku (ADHB), dengan satuan persen",Pertumbuhan PDB Subsektor Aplikasi dan Gim = ((Total PDB ADHB Subsektor Aplikasi dan Gim (t) - Total PDB ADHB Subsektor Aplikasi dan Gim (t-1))/PDB ADHB Subsektor Aplikasi dan Gim (t-1) x 100%,"Wilayah Administrasi: Nasional, Provinsi",persen,,03.06.04.01.01 - Pertumbuhan PDB subsektor Aplikasi dan Gim,,,INDUSTRI,No
02.01.049,Pertumbuhan PDB Subsektor Fesyen dan Kriya,Parent,"Pertumbuhan PDB Subsektor Fesyen dan Kriya adalah pertambahan nilai pendapatan subsektor fesyen dan kriya dalam kurun waktu satu tahun. Perhitungan menggunakan PDB Atas Dasar Harga Berlaku (ADHB), dengan satuan persen",Pertumbuhan PDB Subsektor Fesyen dan Kriya = ((Total PDB ADHB Subsektor Fesyen dan Kriya (t) - Total PDB ADHB Subsektor Fesyen dan Kriya (t-1))/PDB ADHB Subsektor Fesyen dan Kriya (t-1) x 100%,"Wilayah Administrasi: Nasional, Provinsi",persen,,03.06.03.01.01 - Pertumbuhan PDB Subsektor Fesyen dan Kriya,,,INDUSTRI,No
02.01.050,"Pertumbuhan PDB Subsektor Film, Animasi, Video, dan Musik",Parent,"Pertumbuhan PDB Subsektor Film, Animasi, Video, dan Musik adalah pertambahan nilai pendapatan subsektor film, animasi, video, dan musik dalam kurun waktu satu tahun. Perhitungan menggunakan PDB Atas Dasar Harga Berlaku (ADHB), dengan satuan persen","Pertumbuhan PDB Subsektor film, animasi, video, dan musik = (Total PDB ADHB Subsektor film, animasi, video, dan musik (t) - Total PDB ADHB Subsektor film, animasi, video, dan musik (t-1))/PDB ADHB Subsektor film, animasi, video, dan musik (t-1) x 100%","Wilayah Administrasi: Nasional, Provinsi",persen,,"03.06.02.01.01 - Pertumbuhan PDB Subsektor Film, Animasi, Video, dan Musik",,,INDUSTRI,No
02.01.051,Pertumbuhan PDB Subsektor Kuliner,Parent,"Pertumbuhan PDB Subsektor Kuliner adalah pertambahan nilai pendapatan subsektor kuliner dalam kurun waktu satu tahun. Perhitungan menggunakan PDB Atas Dasar Harga Berlaku (ADHB), dengan satuan persen",Pertumbuhan PDB Subsektor Kuliner = ((Total PDB ADHB Subsektor Kuliner (t) - Total PDB ADHB Subsektor Kuliner (t-1))/PDB ADHB Subsektor Kuliner (t-1) x 100%,"Wilayah Administrasi: Nasional, Provinsi",persen,,03.06.05.01.01 - Pertumbuhan PDB Subsektor Kuliner,,,INDUSTRI,No
02.01.052,Presentase Peningkatan Daya Saing Industri yang Memproduksi Produk Halal,Parent,"Presentase Peningkatan Daya Saing Industri yang Memproduksi Produk Halal adalah ukuran kuantitatif yang mencerminkan peningkatan kemampuan industri dalam memproduksi produk halal untuk bersaing di pasar domestik maupun internasional. Salah satu komponen utama dalam mengukur daya saing ini adalah nilai produksi barang yang dihasilkan. Indikator ini sangat penting mengingat tingginya jumlah populasi Muslim di Indonesia, yang menciptakan permintaan besar terhadap produk halal. Peningkatan daya saing tersebut sekaligus menjadi penggerak utama pertumbuhan ekonomi nasional. SIINas (Sistem Informasi Industri Nasional) adalah sistem informasi terpadu yang yang dibangun oleh Kementerian Perindustrian dan berisi data dan informasi tentang industri nasional. Pada indikator ini data pelaporan SIINas yang dilakukan tiap semester diperlukan untuk mensuplai informasi terkait nilai produksi dari produk bersertifikat halal dari perusahaan industri. Peningkatan Daya Saing Industri yang Memproduksi Produk Halal ini dihitung menggunakan data nilai produksi produk yang memiliki sertifikat halal yang tercatat di SIINas yang kemudian diukur peningkatannya melalui perbandingan data di tahun sebelumnya dan disajikan dalam persen.",Presentase Peningkatan Daya Saing Industri yang Memproduksi Produk Halal dalam metadata ini mencakup perbandingan nilai produksi produk yang memiliki sertifikat halal di tahun berjalan dengan tahun sebelumnya yang diperoleh dari pelaporan SIINas. Menghitung peningkatan nilai produksi produk yang memiliki sertifikat halal yang diperoleh dari data pelaporan SIINas dengan formula hitung: ((???(t) – ???(t-1)) / ???(t-1)) x 100% ???= Rata-rata nilai produksi produk yang memiliki sertifikat halal di tahun (t) t = Periode data t-1 = Periode data 1 tahun sebelumnya,"Wilayah Administrasi: Nasional, Provinsi",persen,,02.13.01.01.01 - Presentase Peningkatan Daya Saing Industri yang Memproduksi Produk Halal,,,INDUSTRI,No
02.01.053,Proporsi Jumlah Industri Kecil dan Menengah (IKM),Parent,Proporsi jumlah industri kecil dan menengah merupakan perbandingan jumlah unit industri kecil dan menengah terhadap seluruh unit industri pada tahun yang sama.,,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000028 - Proporsi Jumlah Industri Kecil dan Menengah (IKM),INDUSTRI,No
02.01.054,Proporsi nilai tambah industri kecil terhadap total nilai tambah sektor industri,Parent,Konsep dan Definisi:Industri Kecil yang dimaksud pada indikator ini adalah industri mikro dan industri kecil.Industri Mikro adalah industri pengolahan yang mempunyai tenaga kerja antara 1 sampai dengan 4 orang. Industri Kecil adalah usaha industri pengolahan yang mempunyai tenaga kerja 5 sampai dengan 19 orang.Nilai tambah industri kecil merupakan jumlah nilai barang dan jasa akhir (pengurangan output dengan input antara) yang dihasilkan oleh industri kecil.,Proporsi nilai tambah industri kecil terhadap total nilai tambah sektor industri diperoleh dengan membagi nilai tambah industri kecil dibagi dengan total nilai tambah industri dikalikan dengan 100 persen.Rumus:Keterangan:NTIK:Nilai tambah industri kecil TNTI :Total nilai tambah industri,"Wilayah Administrasi: Nasional, Provinsi",persen,,,9.3.1* - Proporsi nilai tambah industri kecil terhadap total nilai tambah sektor industri.,000212 - Proporsi nilai tambah industri kecil terhadap total nilai tambah sektor industri.,INDUSTRI,No
02.01.055,Proporsi tenaga kerja pada sektor industri pengolahan,Parent,Tenaga kerja adalah semua orang yang bekerja pada suatu usaha dengan menerima upah/gaji baik berupa uang maupun barang (pekerja dibayar) maupun pekerja pemilik dan atau pekerja keluarga yang biasanya aktif dalam kegiatan usaha tetapi tidak dibayar (pekerja tidak dibayar). Bagi pekerja keluarga yang bekerja kurang dari 1/3 jam kerja normal (satu shift) tidak dianggap pekerja.,Proporsi tenaga kerja pada sektor industri manufaktur diperoleh dengan cara membagi jumlah tenaga kerja sektor industri dengan jumlah tenaga kerja total kemudian dikalikan dengan 100 persen.Rumus:Keterangan:TK: Tenaga kerjaIM : Industri manufakturJTK IM : Jumlah tenaga kerja industri manufaktur JTK : Jumlah tenaga kerja,Wilayah Administrasi: Nasional; Skala Usaha,persen,,,9.2.2* - Proporsi tenaga kerja pada sektor industri pengolahan.,000211 - Proporsi tenaga kerja pada sektor industri manufaktur,INDUSTRI,No
02.01.056,Rasio PDRB Industri Pengolahan di Provinsi KI/KEK Prioritas terhadap PDB Industri Pengolahan,Parent,Rasio PDRB Industri Pengolahan di Provinsi KI/KEK Prioritas terhadap PDB Industri Pengolahan adalah persentase besaran PDRB sektor industri pengolahan di provinsi yang memiliki KI/KEK Prioritas terhadap total PDB industri pengolahan nasional. Perhitungan indikator ini menggunakan PDRB atas dasar harga berlaku. Provinsi yang memiliki KI/KEK Prioritas RPJMN 2025-2029 mencakup: 1. Provinsi Aceh 2. Provinsi Sulawesi Tengah 3. Provinsi Kepulauan Riau 4. Provinsi Banten 5. Provinsi Jawa Tengah 6. Provinsi Maluku Utara 7. Provinsi Sumatera Utara 8. Provinsi Sulawesi Tenggara 9. Provinsi Kalimantan Utara 10. Provinsi Nusa Tenggara Barat 11. Provinsi Jawa Timur 12. Provinsi Kalimantan Barat 13. Provinsi Papua Barat 14. Provinsi Sulawesi Selatan,"Total PDRB industri pengolahan provinsi yang memiliki KI/KEK Prioritas dibagi dengan jumlah PDRB industri pengolahan seluruh provinsi, dikalikan 100%.","Wilayah Administrasi: Nasional, Provinsi",persen,,05.02.01.01 - Rasio PDRB Industri Pengolahan di Provinsi KI/KEK Prioritas terhadap PDB Industri Pengolahan,,,INDUSTRI,No
02.01.057,Rasio PDRB Penyediaan Akomodasi Makan dan Minum,Parent,"Proporsi PDRB Penyediaan Akomodasi Makan dan Minum adalah persen bagian PDB regional yang dikontribusikan oleh aktivitas terkait pariwisata meliputi: 1. Penyediaan Akomodasi bagi Wisatawan, dan 2. Penyediaan Jasa Makan dan Minum.",,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000024 - Rasio PDRB Penyediaan Akomodasi Makan dan Minum,INDUSTRI,No
02.01.058,Tersedianya informasi industri secara lengkap dan terkini,Parent,"Tersedianya informasi industri secara lengkap dan terkini mengacu pada ketersediaan data dan informasi yang menyeluruh dan terbaru mengenai sektor industri. Informasi ini mencakup berbagai aspek industri seperti data produksi, distribusi, izin usaha, kepatuhan terhadap regulasi, perkembangan teknologi, tenaga kerja, serta informasi keuangan dan pasar. Tujuannya adalah untuk memastikan bahwa semua pemangku kepentingan, termasuk pemerintah, pelaku industri, investor, dan masyarakat, memiliki akses ke informasi yang akurat dan relevan untuk mendukung pengambilan keputusan yang efektif dan efisien.",,"Wilayah Administrasi: Provinsi, Kabupaten/Kota",persen,,,,000438 - Tersedianya informasi industri secara lengkap dan terkini,INDUSTRI,No
02.01.059,Tingkat partisipasi produk elektronik Indonesia yang bergabung dalam rantai nilai global,Parent,"Partisipasi dalam GVC menunjukkan seberapa besar keterlibatan suatu negara dalam rantai produksi global, baik sebagai pengimpor input produksi (backward linkage) maupun pemasok bahan baku dan barang setengah jadi untuk negara lain (forward linkage). Partisipasi produk elektronik Indonesia yang bergabung dalam GVC yang dimaksud dalam indikator ini termasuk dalam sektor electrical and optical equipment dalam tabel Multiregional Input-Output (MRIO). Semakin tinggi partisipasi produk elektronik Indonesia dalam GVC menunjukkan bahwa Indonesia semakin terlibat dalam rantai produksi global, baik secara backward linkages, dengan mengimpor bahan baku untuk diolah dan diekspor kembali, serta forward linkages, dengan mengekspor bahan baku yang diproses lebih lanjut oleh negara pengimpor sebelum akhirnya diekspor kembali sebagai produk akhir."," Berdasarkan data dalam tabel MRIO dari Asian Development Bank (ADB).

https://kidb.adb.org/globalization ",,persen,,05.05.06.01.01 - Tingkat partisipasi produk elektronik Indonesia yang bergabung dalam rantai nilai global,,,INDUSTRI,No
02.01.060,Tingkat partisipasi produk otomotif termasuk Electric Vehicle (EV) Indonesia yang bergabung dalam rantai nilai global,Parent,"Partisipasi dalam GVC menunjukkan seberapa besar keterlibatan suatu negara dalam rantai produksi global, baik sebagai pengimpor input produksi (backward linkage) maupun pemasok bahan baku dan barang setengah jadi untuk negara lain (forward linkage). Partisipasi produk otomotif termasuk EV Indonesia yang bergabung dalam GVC yang dimaksud dalam indikator ini termasuk dalam sektor transport equipment dalam tabel Multiregional Input-Output (MRIO).Semakin tinggi partisipasi produk otomotif termasuk EV Indonesia dalam GVC menunjukkan bahwa Indonesia semakin terlibat dalam rantai produksi global, baik secara backward linkages, dengan mengimpor bahan baku untuk diolah dan diekspor kembali, serta forward linkages, dengan mengekspor bahan baku yang diproses lebih lanjut oleh negara pengimpor sebelum akhirnya diekspor kembali sebagai produk akhir.","Berdasarkan data dalam tabel MRIO dari Asian Development Bank (ADB).

https://kidb.adb.org/globalization ",,persen,,05.05.06.01.02 - Tingkat partisipasi produk otomotif termasuk Electric Vehicle (EV) Indonesia yang bergabung dalam rantai nilai global,,,INDUSTRI,No
